SKU	NAME 	Thikness_mm	Length_m	Tipo	Familia 	Sub_Familia	unit_base	Largo_min_max	cost_sin_iva	sale_sin_iva	sale_iva_inc	E - Commerce		METRO LINEAL / 3	Precio ML	Ganancia ML		web_sin_iva	web_iva_inc
																			
	ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min																		
IAGRO30	Isoroof FOIL 30 mm - Color Gris-Rojo	30	on demand 	Panel	ISOROOF / FOIL	PIR	m2	3.5 / 14	28.14	32.36	39.48							39.40	48.06
IAGRO50	Isoroof FOIL 50 mm - Color Rojo-Gris	50	on demand 	Panel	ISOROOF / FOIL	PIR	m2	3.5 / 14	31.90	36.69	44.76			 				44.66	54.49
IROOF30	Isoroof 30 mm Terracota o Gris	30	on demand 	Panel	ISOROOF	PIR	m2	3.5 / 14	34.74	39.95	48.74		-5.28					48.63	59.33
IROOF40	Isoroof 40 mm Terracota o Gris 	40	on demand 	Panel	ISOROOF	PIR	m2	3.5 / 14	36.50	41.98	51.21		2.47					51.10	62.34
IROOF50	Isoroof 50 mm Terracota o Gris	50	on demand 	Panel	ISOROOF	PIR	m2	3.5 / 14	38.26	44.00	53.68		4.94	  				53.56	65.35
IROOF80	Isoroof 80 mm - Gris - Rojo	80	on demand 	Panel	ISOROOF	PIR	m2	3.5 / 14	44.98	51.73	63.11		14.37					62.98	76.83
IROOF100	Isoroof 100 mm - Gris - Rojo	100	on demand 	Panel	ISOROOF	PIR	m2	3.5 / 14	49.39	56.80	69.29		18.08					69.15	84.36
IROOF50-PLS	Isoroof Plus 50 mm - Gris - Rojo (MINIMO 800 M2)	50	on demand 	Panel	ISOROOF	PIR	m2	3.5 / 14	43.53	50.06	61.07		6.06	DESCONTINUADO MIN 800m				60.94	74.35
IROOF80-PLS	Isoroof Plus 80 mm - Gris - Rojo	80	on demand 	Panel	ISOROOF	PIR	m2	3.5 / 14	51.15	58.82	71.76		7.09					71.61	87.36
	ISOROOF COLONIAL (medidas: 7 m y 4,9 m)									Precio + IVA	IVA inc.								
IAGRO30	Isoroof COLONIAL 40 mm - Color simil teja	40	4,9	Panel	ISOROOF / Colonial	ISOROOF COLONIAL	m2	4,9	53.97	62.07	75.72								
