SKU,NAME ,Thikness_mm,Length_m,Tipo,Familia ,Sub_Familia,unit_base,Largo_min_max,cost_sin_iva,sale_sin_iva,sale_iva_inc,web_sin_iva,web_iva_inc
,,,,,,,,,,,,,
,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",,,,,,,,,,,,
GLDCAM80,Gotero Lateral  CAMARA  80mm  Prep.,80.00,3,Perfileria / Terminaciones ,ISOROOF,GOTERO LATERAL PREPINTADO,Unit,3.00,20.92,25.10,30.63,29.29,35.73
,,,,,,,,,,,,,
,BABETAS 3M PREPINTADO,,,,,,,,,,,,
BBAS3G,Babeta de Atornillar Superior 3G,Estandar ,3.03,Perfileria / Terminaciones ,ISOROOF,BABETAS PREPINTADOS,Unit,3.03,19.78,23.74,28.96,27.69,33.78
BBESUP,Babeta de Empotrar Superior 3G,Estandar ,3.03,Perfileria / Terminaciones ,ISOROOF,BABETAS PREPINTADOS,Unit,3.03,19.06,22.87,27.90,26.68,32.55
BBAL,Babeta de Atornillar Lateral,Estandar ,3.00,Perfileria / Terminaciones ,ISOROOF,BABETAS PREPINTADOS,Unit,3.03,12.00,14.40,17.57,16.80,20.50
BBAL,Babeta de Empotrar Lateral,Estandar ,3.00,Perfileria / Terminaciones ,ISOROOF,BABETAS PREPINTADOS,Unit,3.03,10.54,12.65,15.43,14.76,18.00
,,,,,,,,,,,,,
,CANALÓN 3M PREPINTADO,,,,,,,,,,,,
CD30,"Canalón Doble roof 30mm / base 150mm + tapas + agujero + bajada / 3,03 m",30.00,3.03,Perfileria / Terminaciones ,ISOROOF,CANALÓN PREPINTADO,Unit,3.03,59.86,71.83,87.64,83.80,102.24
CD50,"Canalón Doble roof 50mm / base 150mm + tapas + agujero + bajada / 3,03 m",50.00,3.03,Perfileria / Terminaciones ,ISOROOF,CANALÓN PREPINTADO,Unit,3.03,60.99,73.19,89.29,85.39,104.17
