1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,E - Commerce,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
,,,,ANCLAJES varios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Varilla Roscada BSW 3/8 de 1 m,2.60,2.69,2.96,20%,,0.5200,3.12,3.81,,,,,,,3.64,4.44,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Tuerca BSW 3/8 Galv.,0.05,0.05,0.06,140%,,0.0700,0.12,0.15,,,,,,,0.07,0.09,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,,Arandela Carrocero 3/8 Galv.,0.46,0.48,0.52,265%,,1.2200,1.68,2.05,,,,,,,0.64,0.79,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,,Arandela Bca. de Polipropileno (Totuga Blanca),1.06,1.10,1.21,20%,,0.2120,1.27,1.55,,,,,,,1.48,1.81,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,,Arandela Bca. de Polipropileno GRIS (Totuga GRIS),1.14,1.18,1.30,20%,,0.2280,1.37,1.67,,,,,,,1.60,1.95,,,,,,,,,,,,,,,,,,,,,,,
Falta Descripción,,,,Taco Expansivo Sorex 3/8,0.80,0.83,0.91,20%,,0.1600,0.96,1.17,,,,,,,1.12,1.37,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Faltan Tornillos autoperfoantes para cotizar cuando retiren de BROMYROS ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Soportes para canalones ISOROOF cual utilizan?,,,,,,,,,,tc,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,," EPS, Cat. II",C. Unit UY$,,,C. Paquete,C. Paquete,C. unit usd ,,,,vta unit ,Vta unit USD ,P vta paquete + IVA,Ganancia Paquete ,,,,,,,,,,,,,,,,,,,,,,,,,,
