1,,  ,,Producto,Costo m2 U$S + IVA,Con AUMENTO,Proximo AUMENTO,Margen %,,Ganancia,Venta + IVA,CONSUMIDOR IVA INC.,,METRO LINEAL / 3,Precio ML,Ganancia ML,,WEB Venta + IVA,WEB Venta IVA inc. ,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Actualizar oficialmente,Con AUMENTO,Proximo AUMENTO,Por actualizar,,,,,,,,,,,,,,Precio m lineal,,,,,,,,,,,,,,,,,,,,
Shopify ,Notas,,,"ISOROOF  / ISOROOF FOIL / ISOROOF PLUS- 3,5 min",pre - Actualizado,1.0335,1.1000,Actualizad,,,Precio + IVA,IVA inc.,,,,,,,,Precio + IVA,Metros de chapas disponibles para cortar,1.00,3.50,4.00,4.50,5.00,5.50,6.00,6.50,7.00,7.50,8.00,8.50,9.00,9.50,10.00,10.50,11.00,11.50,12.00,12.50,13.00
Fata foto,,,ISD200EPS,ISODEC EPS 200 mm,41.42,42.81,47.09,15%,,6.2134,47.64,58.12,,,67.41,9.30,,57.99,70.75,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,ISD250EPS,ISODEC EPS 250mm,45.53,47.05,51.76,15%,,6.8289,52.35,63.87,,,74.09,10.22,,63.74,77.76,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,"ISODEC (PIR) - 3,5m min.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,ISD50PIR,ISODEC 50mm PIR (EVITAR ESTE ESPESOR),36.37,37.58,41.34,15%,,5.4549,41.82,51.02,,,59.18,8.16,,50.91,62.11,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,ISD80PIR,ISODEC 80mm PIR,37.38,38.63,42.49,15%,,5.6069,42.99,52.44,,,60.83,8.39,,52.33,63.84,,,,,,,,,,,,,,,,,,,,,,,
Fata foto,,,ISD80PIR,ISODEC 120mm PIR,44.68,46.18,50.79,15%,,6.7021,51.38,62.69,,,72.72,10.03,,62.55,76.31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GOTERO FRONTAL ISODEC (EPS & PIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,GF80DC,"Perf. Ch. Gotero Frontal 50mm - ISODEC PIR  - (3,03m)",16.64,17.20,18.92,20%,,3.3280,19.97,24.36,,,28.26,3.90,,23.30,28.42,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,GF120DC,"Perf. Ch. Gotero Frontal 80mm - ISODEC PIR  - (3,03m)",17.39,17.97,19.77,20%,,3.4778,20.87,25.46,,,29.53,4.07,,24.34,29.70,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,6838,"Perf. Ch. Gotero Frontal 100mm - (3,03m)",15.55,16.07,17.67,20%,,3.1091,18.65,22.76,,6.21819744,26.40,3.64,,21.76,26.55,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,GF120DC,"Perf. Ch. Gotero Frontal 120mm - ISODEC PIR  - (3,03m)",20.58,21.26,23.39,20%,,4.1151,24.69,30.12,0,,34.94,4.82,,28.81,35.14,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,6839,"Perf. Ch. Gotero Frontal 150mm - (3,03m)",19.22,19.87,21.85,20%,,3.8446,23.07,28.14,25 retiro en Local,7.68911598,32.64,4.50,,26.91,32.83,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,6840,"Perf. Ch. Gotero Frontal 200mm - (3,03m)",23.37,24.15,26.57,20%,,4.6735,28.04,34.21,,9.346974,39.68,5.47,,32.71,39.91,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,6841,"Perf. Ch. Gotero Frontal 250mm - (3,03m)",23.60,24.39,26.83,20%,,4.7202,28.32,34.55,38.01,9.44044374,40.08,5.53,,33.04,40.31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,GOTERO LATERAL ISODEC (EPS & PIR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,GL80DC,Perf. Ch. Gotero Lateral 50mm - ISODEC PIR  - (3m),22.09,22.83,25.11,20%,,4.4177,26.51,32.34,,,37.51,5.17,,30.92,37.73,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,GL80DC,Perf. Ch. Gotero Lateral 80mm - ISODEC PIR  - (3m),22.09,22.83,25.11,20%,,4.4177,26.51,32.34,,,37.51,5.17,,30.92,37.73,,,,,,,,,,,,,,,,,,,,,,,
Subido con Éxito,,,6842,Perf. Ch. Gotero Lateral 100mm - (3m),20.60,21.29,23.42,20%,,4.1200,24.72,30.16,,8.2400955,34.98,4.83,,28.84,35.19,,,,,,,,,,,,,,,,,,,,,,,
