sku,name,current_status,length_m,thickness_mm,type,family,unit_base
6865,Babeta ISODEC de empotrar,Check Availability,,,perfil,babeta,metro_lineal
6825,Vaina ISODEC Sist 2000,Check Availability,,,otro,accesorio,unidad
CAN.ISDC120,Canalón Isodec 50mm ISODEC PIR,Check Availability,,50,panel,ISODEC_EPS,m2
CAN.ISDC120,Canalón Isodec 80mm ISODEC PIR,Check Availability,,80,panel,ISODEC_EPS,m2
6801,Canalón Estandar 100 mm,Check Availability,,100,perfil,canalon,metro_lineal
CAN.ISDC120,Canalón Isodec 120mm ISODEC PIR,Check Availability,,120,panel,ISODEC_EPS,m2
6802,Canalón Estandar 150 mm,Check Availability,,150,perfil,canalon,metro_lineal
6803,Canalón Estandar 200 mm,Check Availability,,200,perfil,canalon,metro_lineal
6804,Canalón Estandar 250 mm,Check Availability,,250,perfil,canalon,metro_lineal
6805,Soporte de Canalón de 3 m,Check Availability,3.0,,perfil,canalon,metro_lineal
